date, pm25, pm10, o3, no2, so2, co
2024/5/1, 67, 27, , 7, 5, 3
2024/5/2, 56, 21, , 6, 3, 3
2024/5/3, 42, 40, , 9, 4, 4
2024/5/4, 87, 47, , 12, 10, 5
2024/5/5, 103, 74, , 20, 5, 7
2024/5/6, 145, 73, , 17, 6, 6
2024/5/7, 154, 81, , 12, 7, 7
2024/5/8, 165, 43, , 7, 5, 3
2024/5/9, 91, 54, , 8, 7, 4
2024/5/10, 110, 59, , 11, 5, 4
2024/5/11, 99, 56, , 7, 5, 2
2024/5/12, 73, 55, , 8, 16, 3
2024/5/13, 71, 60, , 13, 6, 3
2024/5/14, 91, 49, , 9, 5, 3
2024/5/15, 74, , , , , 
2024/4/1, 70, 32, , 7, 5, 3
2024/4/2, 58, 55, , 7, 6, 2
2024/4/3, 75, 52, , 6, 5, 3
2024/4/4, 74, 19, , 4, 6, 4
2024/4/5, 37, 20, , 5, 4, 3
2024/4/6, 36, 25, , 7, 4, 2
2024/4/7, 44, 31, , 10, 9, 3
2024/4/8, 62, 28, , 10, 7, 4
2024/4/9, 59, 21, , 6, 5, 3
2024/4/10, 46, 35, , 9, 6, 3
2024/4/11, 68, 40, , 14, 6, 4
2024/4/12, 64, 48, , 13, 6, 4
2024/4/13, 71, 49, , 14, 5, 4
2024/4/14, 77, 58, , 15, 6, 4
2024/4/15, 88, 29, , 8, 6, 3
2024/4/16, 52, 38, , 9, 5, 3
2024/4/17, 63, 39, , 10, 6, 4
2024/4/18, 74, 37, , 8, 4, 2
2024/4/19, 52, 62, , 13, 5, 4
2024/4/20, 80, 65, , 7, 5, 3
2024/4/21, 90, 37, , 7, 5, 3
2024/4/22, 58, 32, , 8, 5, 2
2024/4/23, 52, 31, , 7, 4, 2
2024/4/24, 57, 42, , 8, 5, 3
2024/4/25, 67, 47, , 13, 4, 4
2024/4/26, 82, 63, , 16, 4, 4
2024/4/27, 113, 57, , 14, 5, 5
2024/4/28, 117, 30, , 6, 3, 3
2024/4/29, 70, 15, , 5, 3, 2
2024/4/30, 36, 28, , 7, 6, 3
2024/1/1, 175, 46, , 13, 3, 7
2024/1/2, 111, 59, , 14, 4, 8
2024/1/3, 131, 64, , 16, 4, 8
2024/1/4, 147, 75, , 18, 7, 9
2024/1/5, 158, 69, , 15, 5, 8
2024/1/6, 158, 74, , 19, 5, 9
2024/1/7, 163, 76, , 16, 4, 8
2024/1/8, 165, 76, , 21, 4, 8
2024/1/9, 156, 72, , 17, 4, 7
2024/1/10, 153, 72, , 19, 4, 8
2024/1/11, 153, 74, , 19, 4, 8
2024/1/12, 150, 79, , 18, 4, 8
2024/1/13, 163, 89, , 19, 5, 8
2024/1/14, 169, 79, , 13, 3, 8
2024/1/15, 168, 28, , 7, 3, 7
2024/1/16, 83, 29, , 7, 3, 7
2024/1/17, 69, 44, , 11, 5, 9
2024/1/18, 88, 44, , 8, 4, 6
2024/1/19, 91, 35, , 7, 4, 6
2024/1/20, 75, 19, , 4, 4, 6
2024/1/21, 57, 24, , 4, 4, 3
2024/1/22, 55, 35, , 5, 5, 4
2024/1/23, 82, 26, , 7, 5, 4
2024/1/24, 75, 32, , 11, 4, 5
2024/1/25, 82, 39, , 11, 4, 5
2024/1/26, 95, 52, , 14, 5, 6
2024/1/27, 106, 55, , 19, 7, 7
2024/1/28, 115, 70, , 18, 4, 7
2024/1/29, 141, 75, , 15, 4, 7
2024/1/30, 159, 83, , 21, 4, 9
2024/1/31, 164, 70, , 15, 5, 7
2024/2/1, 158, 63, , 9, 4, 7
2024/2/2, 154, 28, , 7, 6, 7
2024/2/3, 75, 26, , 6, 5, 4
2024/2/4, 73, 30, , 7, 4, 6
2024/2/5, 79, 42, , 9, 4, 6
2024/2/6, 100, 39, , 6, 4, 6
2024/2/7, 96, 43, , 8, 4, 6
2024/2/8, 111, 62, , 10, 4, 7
2024/2/9, 141, 122, , 12, 5, 7
2024/2/10, 229, 72, , 12, 4, 6
2024/2/11, 159, 73, , 14, 4, 7
2024/2/12, 161, 79, , 16, 4, 8
2024/2/13, 161, 73, , 11, 4, 6
2024/2/14, 144, 39, , 7, 4, 2
2024/2/15, 61, 38, , 10, 6, 4
2024/2/16, 77, 48, , 14, 3, 4
2024/2/17, 99, 52, , 14, 4, 5
2024/2/18, 100, 281, , 7, 4, 2
2024/2/19, 175, 333, , 7, 4, 3
2024/2/20, 194, 20, , 4, 4, 4
2024/2/21, 38, 17, , 4, 3, 4
2024/2/22, 44, 12, , 5, 3, 3
2024/2/23, 44, 30, , 5, 4, 4
2024/2/24, 72, 41, , 10, 4, 4
2024/2/25, 85, 48, , 13, 4, 5
2024/2/26, 102, 55, , 12, 6, 5
2024/2/27, 119, 59, , 12, 5, 5
2024/2/28, 128, 54, , 10, 4, 5
2024/2/29, 121, 51, , 10, 5, 4
2024/3/1, 105, 52, , 12, 5, 5
2024/3/2, 111, 55, , 12, 5, 5
2024/3/3, 116, 60, , 9, 3, 5
2024/3/4, 132, 61, , 12, 3, 6
2024/3/5, 132, 53, , 7, 4, 5
2024/3/6, 101, 56, , 10, 3, 5
2024/3/7, 96, 62, , 11, 8, 6
2024/3/8, 145, 45, , 13, 6, 5
2024/3/9, 106, 59, , 17, 6, 5
2024/3/10, 113, 63, , 18, 6, 5
2024/3/11, 120, 59, , 18, 5, 5
2024/3/12, 108, 40, , 9, 6, 3
2024/3/13, 83, 54, , 15, 8, 4
2024/3/14, 112, 61, , 16, 9, 5
2024/3/15, 122, 47, , 10, 5, 3
2024/3/16, 89, 72, , 6, 6, 2
2024/3/17, 96, 14, , 5, 8, 2
2024/3/18, 30, 36, , 10, 6, 3
2024/3/19, 60, 61, , 17, 6, 4
2024/3/20, 97, 64, , 18, 6, 4
2024/3/21, 94, 65, , 19, 6, 4
2024/3/22, 98, 72, , 19, 7, 5
2024/3/23, 123, 50, , 6, 4, 3
2024/3/24, 65, 23, , 8, 5, 2
2024/3/25, 32, 40, , 13, 10, 3
2024/3/26, 67, 36, , 10, 6, 3
2024/3/27, 58, 43, , 10, 6, 3
2024/3/28, 73, 58, , 18, 7, 4
2024/3/29, 85, 46, , 17, 5, 3
2024/3/30, 76, 47, , 16, 6, 3
2024/3/31, 81, 34, , 9, 4, 2
2023/10/1, 62, 18, 19, 6, 3, 2
2023/10/2, 45, 19, 26, 6, 4, 3
2023/10/3, 47, 23, 16, 6, 3, 3
2023/10/4, 52, 12, 23, 6, 3, 3
2023/10/5, 35, 11, 25, 7, 3, 2
2023/10/6, 33, 22, 32, 9, 4, 4
2023/10/7, 43, 33, 22, 13, 5, 4
2023/10/8, 60, 35, 11, 11, 3, 4
2023/10/9, 74, 27, 26, 11, 3, 4
2023/10/10, 60, 37, 24, 9, 4, 4
2023/10/11, 75, 18, 22, 8, 3, 3
2023/10/12, 54, 29, 37, 9, 3, 3
2023/10/13, 60, 44, 37, 12, 3, 4
2023/10/14, 83, 53, 50, 14, 4, 5
2023/10/15, 100, 58, 25, 17, 3, 5
2023/10/16, 127, 54, 39, 12, 4, 5
2023/10/17, 108, 35, 27, 7, 3, 4
2023/10/18, 85, 14, 29, 7, 3, 3
2023/10/19, 46, 36, 30, 13, 5, 4
2023/10/20, 60, 51, 40, 16, 6, 5
2023/10/21, 81, 61, 47, 17, 4, 5
2023/10/22, 106, 63, 28, 20, 4, 5
2023/10/23, 118, 68, 17, 19, 3, 7
2023/10/24, 139, 75, 12, 16, 5, 7
2023/10/25, 158, 67, 17, 12, 5, 6
2023/10/26, 154, 31, 26, 10, 3, 4
2023/10/27, 77, 34, 29, 11, 4, 4
2023/10/28, 71, 46, 38, 14, 4, 5
2023/10/29, 83, 51, 45, 12, 7, 6
2023/10/30, 94, 47, 31, 17, 4, 6
2023/10/31, 96, 50, 38, 16, 5, 4
2023/11/1, 88, 57, 21, 16, 4, 5
2023/11/2, 114, 47, 20, 14, 4, 5
2023/11/3, 98, 34, 22, 13, 5, 4
2023/11/4, 64, 44, 38, 12, 4, 4
2023/11/5, 69, 48, 37, 12, 4, 3
2023/11/6, 62, 56, 30, 16, 4, 4
2023/11/7, 93, 59, 22, 14, 4, 5
2023/11/8, 100, 68, 48, 16, 4, 5
2023/11/9, 113, , , , , 
2023/11/13, 34, 26, , 10, 4, 4
2023/11/14, 60, 29, , 10, 6, 4
2023/11/15, 52, 60, , 15, 3, 3
2023/11/16, 71, 74, , 20, 7, 4
2023/11/17, 90, 92, , 23, 4, 5
2023/11/18, 111, 66, , 18, 4, 5
2023/11/19, 113, 69, , 18, 5, 5
2023/11/20, 119, 77, , 20, 4, 6
2023/11/21, 153, 93, , 19, 4, 6
2023/11/22, 167, 76, , 19, 4, 6
2023/11/23, 158, 80, , 15, 4, 6
2023/11/24, 166, 52, , 10, 3, 5
2023/11/25, 137, 42, , 15, 4, 4
2023/11/26, 69, 57, , 19, 4, 4
2023/11/27, 85, 60, , 17, 5, 5
2023/11/28, 110, 57, , 15, 4, 5
2023/11/29, 101, 30, , 8, 4, 3
2023/11/30, 72, 27, , 8, 4, 3
2023/12/1, 65, 34, , 9, 4, 4
2023/12/2, 77, 44, , 12, 5, 5
2023/12/3, 89, 47, , 13, 5, 5
2023/12/4, 98, 52, , 14, 4, 5
2023/12/5, 100, 68, , 18, 4, 6
2023/12/6, 137, 67, , 17, 4, 5
2023/12/7, 137, 78, , 22, 5, 5
2023/12/8, 152, 84, , 22, 4, 7
2023/12/9, 160, 92, , 25, 4, 7
2023/12/10, 176, 46, , 15, 4, 6
2023/12/11, 106, 40, , 15, 5, 6
2023/12/12, 77, 42, , 11, 4, 6
2023/12/13, 82, 43, , 12, 4, 6
2023/12/14, 88, 55, , 5, 3, 3
2023/12/15, 55, 53, , 5, 4, 1
2023/12/16, 58, 56, , 9, 5, 2
2023/12/17, 93, 57, , 11, 4, 3
2023/12/18, 114, 60, , 13, 6, 4
2023/12/19, 123, 61, , 14, 4, 4
2023/12/20, 125, 64, , 15, 4, 4
2023/12/21, 146, 72, , 17, 4, 6
2023/12/22, 156, 76, , 16, 5, 5
2023/12/23, 157, 77, , 20, 6, 6
2023/12/24, 149, 78, , 22, 5, 6
2023/12/25, 154, 85, , 23, 5, 7
2023/12/26, 161, 93, , 22, 4, 8
2023/12/27, 166, 89, , 27, 5, 8
2023/12/28, 171, 112, , 21, 6, 9
2023/12/29, 185, 100, , 17, 4, 9
2023/12/30, 186, 94, , 13, 3, 8
2023/12/31, 176, 85, , 12, 5, 9
2023/7/1, 98, 34, 38, 6, 3, 3
2023/7/2, 68, 12, 36, 6, 2, 2
2023/7/3, 33, 25, 63, 9, 3, 3
2023/7/4, 38, 35, 69, 11, 4, 4
2023/7/5, 62, 55, 48, 12, 3, 4
2023/7/6, 66, 55, 45, 12, 4, 4
2023/7/7, 68, 57, 73, 19, 4, 4
2023/7/8, 84, 56, 77, 14, 4, 5
2023/7/9, 101, 62, 68, 12, 5, 5
2023/7/10, 87, 56, 63, 12, 4, 4
2023/7/11, 75, 52, 65, 10, 3, 3
2023/7/12, 78, 27, 40, 4, 3, 2
2023/7/13, 46, 34, 48, 6, 3, 3
2023/7/14, 44, 51, 89, 12, 4, 4
2023/7/15, 65, 59, 94, 15, 5, 4
2023/7/16, 78, 57, 75, 13, 4, 4
2023/7/17, 76, 46, 85, 9, 4, 4
2023/7/18, 73, 44, 50, 11, 6, 5
2023/7/19, 74, 30, 31, 9, 3, 4
2023/7/20, 54, 23, 43, 7, 2, 2
2023/7/21, 56, 26, 51, 8, 2, 3
2023/7/22, 56, 38, 62, 9, 3, 4
2023/7/23, 64, 42, 34, 11, 3, 4
2023/7/24, 79, 33, 43, 10, 3, 3
2023/7/25, 64, 27, 18, 12, 2, 3
2023/7/26, 60, 14, 26, 6, 2, 2
2023/7/27, 37, 16, 31, 5, 3, 2
2023/7/28, 38, 26, 47, 9, 2, 2
2023/7/29, 42, 33, 64, 11, 3, 3
2023/7/30, 60, 37, 63, 9, 3, 3
2023/7/31, 69, 22, 48, 6, 3, 3
2023/8/1, 51, 18, 42, 6, 3, 2
2023/8/2, 46, 19, 41, 6, 3, 2
2023/8/3, 38, 28, 49, 9, 3, 3
2023/8/4, 53, 28, 41, 9, 3, 3
2023/8/5, 59, 27, 49, 6, 3, 2
2023/8/6, 52, 18, 51, 6, 2, 3
2023/8/7, 43, 31, 46, 7, 3, 4
2023/8/8, 61, 37, 56, 8, 3, 4
2023/8/9, 67, 40, 49, 11, 3, 3
2023/8/10, 66, 46, 64, 10, 3, 4
2023/8/11, 76, 17, 38, 6, 2, 2
2023/8/12, 47, 38, 58, 10, 3, 2
2023/8/13, 55, 43, 57, 13, 3, 2
2023/8/14, 60, 41, 56, 13, 3, 2
2023/8/15, 58, 51, 84, 14, 4, 3
2023/8/16, 79, 48, 62, 8, 3, 3
2023/8/17, 84, 70, 46, 7, 3, 1
2023/8/18, 95, 53, 60, 10, 3, 2
2023/8/19, 69, 30, 31, 6, 2, 2
2023/8/20, 59, 39, 66, 8, 3, 2
2023/8/21, 62, 50, 74, 13, 4, 4
2023/8/22, 81, 48, 39, 12, 3, 4
2023/8/23, 92, 35, 31, 9, 4, 3
2023/8/24, 68, 17, 29, 6, 2, 3
2023/8/25, 45, 10, 35, 4, 3, 3
2023/8/26, 33, 21, 48, 7, 4, 3
2023/8/27, 42, 35, 49, 11, 4, 5
2023/8/28, 51, 40, 48, 11, 5, 4
2023/8/29, 64, 29, 50, 10, 4, 5
2023/8/30, 60, 49, 69, 19, 4, 5
2023/8/31, 76, 49, 47, 21, 3, 4
2023/9/1, 93, 50, 82, 16, 3, 4
2023/9/2, 90, 55, 85, 25, 3, 5
2023/9/3, 99, 68, 88, 23, 4, 4
2023/9/4, 116, 66, 96, 18, 6, 5
2023/9/5, 138, 53, 64, 17, 4, 4
2023/9/6, 102, 51, 63, 18, 5, 5
2023/9/7, 101, 53, 63, 20, 5, 5
2023/9/8, 103, 59, 58, 15, 5, 5
2023/9/9, 108, 48, 64, 6, 4, 5
2023/9/10, 96, 22, 51, 6, 4, 4
2023/9/11, 60, 9, 41, 5, 3, 2
2023/9/12, 34, 25, 43, 10, 4, 4
2023/9/13, 45, 37, 55, 13, 4, 4
2023/9/14, 53, 50, 70, 15, 5, 4
2023/9/15, 80, 55, 75, 17, 5, 5
2023/9/16, 102, 56, 65, 13, 5, 3
2023/9/17, 116, 33, 29, 6, 3, 3
2023/9/18, 80, 17, 25, 7, 3, 3
2023/9/19, 50, 19, 34, 8, 3, 3
2023/9/20, 41, 15, 44, 7, 3, 3
2023/9/21, 41, 16, 27, 9, 3, 1
2023/9/22, 43, 11, 19, 6, 2, 2
2023/9/23, 34, 12, 14, 7, 3, 3
2023/9/24, 33, 17, 15, 8, 3, 2
2023/9/25, 38, 18, 14, 9, 4, 3
2023/9/26, 44, 21, 15, 10, 8, 3
2023/9/27, 46, 19, 14, 8, 4, 3
2023/9/28, 43, 18, 20, 9, 3, 3
2023/9/29, 50, 23, 29, 7, 4, 3
2023/9/30, 50, 27, 21, 7, 4, 3
2023/4/1, 128, 57, 40, 9, 5, 5
2023/4/2, 103, 23, 34, 6, 3, 3
2023/4/3, 44, 33, 48, 11, 3, 4
2023/4/4, 41, 23, 36, 6, 3, 4
2023/4/5, 43, 81, 40, 8, 3, 2
2023/4/6, 104, 92, 34, 21, 5, 3
2023/4/7, 121, 81, 44, 19, 5, 4
