date, pm25, pm10, o3, no2, so2, co
2024/5/1, 86, 35, 22, 11, 4, 6
2024/5/2, 76, 30, 21, 13, 4, 6
2024/5/3, 72, 37, 27, 13, 5, 5
2024/5/4, 84, 37, 49, 16, 5, 7
2024/5/5, 80, 47, 42, 27, 6, 8
2024/5/6, 89, 57, 73, 21, 8, 7
2024/5/7, 115, 56, 39, 22, 5, 7
2024/5/8, 122, 52, 37, 21, 5, 7
2024/5/9, 104, 42, 31, 15, 4, 6
2024/5/10, 89, 43, 18, 16, 4, 5
2024/5/11, 88, 52, 29, 9, 5, 4
2024/5/12, 89, 48, 74, 16, 4, 5
2024/5/13, 89, 52, 59, 19, 6, 6
2024/5/14, 93, 39, 74, 11, 4, 5
2024/5/15, 79, , , , , 
2024/4/1, 101, 49, 32, 13, 4, 5
2024/4/2, 98, 38, 34, 14, 4, 5
2024/4/3, 79, 29, 20, 10, 3, 4
2024/4/4, 69, 30, 30, 8, 4, 5
2024/4/5, 67, 39, 17, 15, 4, 6
2024/4/6, 74, 35, 18, 12, 4, 5
2024/4/7, 75, 42, 33, 14, 3, 5
2024/4/8, 82, 43, 29, 22, 4, 6
2024/4/9, 85, 49, 13, 23, 4, 7
2024/4/10, 99, 52, 44, 17, 4, 6
2024/4/11, 99, 51, 36, 15, 5, 7
2024/4/12, 90, 46, 57, 18, 4, 7
2024/4/13, 87, 54, 80, 17, 5, 7
2024/4/14, 102, 63, 97, 23, 6, 7
2024/4/15, 127, 36, 44, 13, 5, 4
2024/4/16, 80, 41, 52, 17, 4, 4
2024/4/17, 88, 44, 39, 20, 4, 6
2024/4/18, 90, 33, 36, 14, 4, 4
2024/4/19, 63, 45, 34, 21, 5, 6
2024/4/20, 84, 49, 23, 16, 4, 4
2024/4/21, 86, 41, 17, 19, 4, 6
2024/4/22, 81, 39, 35, 16, 4, 7
2024/4/23, 77, 45, 24, 18, 5, 8
2024/4/24, 93, 48, 20, 19, 4, 8
2024/4/25, 92, 46, 58, 22, 4, 8
2024/4/26, 87, 54, 64, 21, 5, 8
2024/4/27, 104, 40, 57, 12, 5, 6
2024/4/28, 80, 27, 41, 11, 4, 5
2024/4/29, 64, 30, 37, 9, 4, 4
2024/4/30, 69, 40, 20, 15, 5, 5
2024/1/1, 158, 73, 12, 18, 3, 10
2024/1/2, 159, 62, 14, 21, 3, 10
2024/1/3, 148, 57, 13, 29, 4, 10
2024/1/4, 126, 83, 4, 25, 6, 11
2024/1/5, 168, 91, 20, 24, 5, 11
2024/1/6, 179, 79, 10, 19, 4, 10
2024/1/7, 170, 70, 9, 23, 4, 9
2024/1/8, 157, 73, 13, 27, 4, 10
2024/1/9, 158, 82, 9, 28, 5, 12
2024/1/10, 165, 89, 16, 31, 6, 12
2024/1/11, 175, 93, 29, 38, 5, 15
2024/1/12, 174, 90, 19, 39, 4, 13
2024/1/13, 171, 99, 13, 30, 6, 12
2024/1/14, 188, 106, 2, 30, 5, 13
2024/1/15, 191, 67, 4, 19, 3, 11
2024/1/16, 152, 45, 7, 19, 3, 10
2024/1/17, 100, 53, 5, 20, 3, 10
2024/1/18, 123, 48, 2, 16, 3, 10
2024/1/19, 103, 48, 3, 15, 3, 8
2024/1/20, 101, 34, 17, 15, 3, 6
2024/1/21, 74, 30, 21, 13, 3, 7
2024/1/22, 69, 37, 24, 13, 3, 6
2024/1/23, 81, 41, 21, 14, 3, 5
2024/1/24, 87, 56, 12, 23, 3, 7
2024/1/25, 118, 61, 11, 22, 2, 8
2024/1/26, 140, 62, 9, 24, 3, 10
2024/1/27, 149, 74, 11, 27, 4, 9
2024/1/28, 162, 68, 12, 25, 5, 9
2024/1/29, 155, 66, 11, 25, 4, 8
2024/1/30, 155, 80, 7, 24, 4, 9
2024/1/31, 168, 82, 16, 21, 3, 8
2024/2/1, 168, 62, 12, 19, 3, 8
2024/2/2, 139, 40, 7, 15, 3, 8
2024/2/3, 86, 31, 9, 14, 2, 8
2024/2/4, 69, 39, 10, 14, 3, 8
2024/2/5, 89, 44, 9, 16, 2, 7
2024/2/6, 97, 49, 8, 13, 3, 7
2024/2/7, 113, 47, 9, 13, 2, 7
2024/2/8, 114, 54, 29, 15, 3, 7
2024/2/9, 131, 77, 44, 16, 4, 9
2024/2/10, 166, 77, 43, 19, 6, 10
2024/2/11, 166, 74, 44, 19, 5, 8
2024/2/12, 163, 70, 45, 19, 5, 9
2024/2/13, 159, 78, 35, 22, 6, 9
2024/2/14, 165, 42, 27, 10, 3, 4
2024/2/15, 84, 37, 35, 11, 3, 5
2024/2/16, 75, 39, 36, 16, 4, 6
2024/2/17, 80, 59, 50, 24, 5, 7
2024/2/18, 131, 71, 53, 19, 6, 7
2024/2/19, 150, 143, 37, 20, 5, 6
2024/2/20, 172, 72, 13, 12, 3, 4
2024/2/21, 111, 25, 22, 11, 3, 5
2024/2/22, 60, 31, 26, 6, 3, 5
2024/2/23, 65, 43, 17, 16, 2, 7
2024/2/24, 84, 49, 10, 14, 3, 6
2024/2/25, 109, 40, 20, 15, 3, 5
2024/2/26, 83, 49, 20, 19, 4, 6
2024/2/27, 107, 58, 23, 22, 4, 5
2024/2/28, 127, 63, 23, 23, 4, 6
2024/2/29, 149, 58, 17, 18, 3, 5
2024/3/1, 126, 50, 32, 16, 4, 5
2024/3/2, 109, 53, 35, 16, 4, 6
2024/3/3, 115, 73, 18, 25, 5, 7
2024/3/4, 159, 76, 25, 21, 5, 7
2024/3/5, 162, 67, 17, 23, 3, 7
2024/3/6, 151, 55, 16, 22, 3, 7
2024/3/7, 120, 62, 10, 22, 4, 8
2024/3/8, 143, 55, 23, 24, 4, 8
2024/3/9, 120, 65, 19, 31, 5, 9
2024/3/10, 132, 70, 55, 21, 5, 8
2024/3/11, 141, 64, 39, 33, 4, 8
2024/3/12, 122, 77, 35, 35, 8, 9
2024/3/13, 158, 68, 48, 27, 5, 7
2024/3/14, 147, 56, 35, 26, 5, 6
2024/3/15, 121, 57, 44, 25, 7, 7
2024/3/16, 118, 70, 30, 21, 6, 6
2024/3/17, 134, 39, 21, 13, 4, 5
2024/3/18, 75, 51, 24, 22, 5, 7
2024/3/19, 98, 67, 40, 34, 6, 9
2024/3/20, 124, 69, 72, 35, 6, 8
2024/3/21, 118, 77, 50, 48, 6, 10
2024/3/22, 144, 88, 103, 35, 9, 10
2024/3/23, 162, 75, 66, 21, 6, 8
2024/3/24, 137, 36, 58, 12, 4, 5
2024/3/25, 77, 38, 32, 17, 5, 8
2024/3/26, 78, 46, 43, 18, 4, 8
2024/3/27, 90, 50, 58, 17, 4, 6
2024/3/28, 98, 59, 52, 34, 5, 8
2024/3/29, 95, 56, 31, 34, 5, 8
2024/3/30, 107, 57, 61, 22, 6, 8
2024/3/31, 109, 52, 45, 25, 6, 7
2023/10/1, 69, 31, 8, 13, 2, 7
2023/10/2, 53, 40, 14, 13, 3, 6
2023/10/3, 72, 22, 6, 12, 3, 7
2023/10/4, 51, 30, 12, 12, 3, 5
2023/10/5, 54, 19, 16, 15, 3, 5
2023/10/6, 51, 23, 28, 17, 3, 6
2023/10/7, 63, 37, 24, 20, 3, 8
2023/10/8, 79, 40, 15, 22, 3, 7
2023/10/9, 87, 43, 14, 19, 3, 7
2023/10/10, 90, 51, 28, 21, 4, 7
2023/10/11, 102, 46, 23, 17, 7, 5
2023/10/12, 90, 46, 21, 20, 3, 7
2023/10/13, 89, 50, 45, 19, 4, 7
2023/10/14, 103, 55, 61, 29, 4, 10
2023/10/15, 118, 60, 48, 30, 5, 10
2023/10/16, 118, 83, 70, 23, 6, 9
2023/10/17, 166, 78, 41, 24, 5, 8
2023/10/18, 164, 31, 19, 13, 3, 5
2023/10/19, 77, 41, 32, 17, 4, 6
2023/10/20, 79, 47, 31, 28, 5, 7
2023/10/21, 86, 51, 35, 28, 5, 8
2023/10/22, 97, 59, 19, 35, 4, 8
2023/10/23, 120, 81, 4, 37, 6, 10
2023/10/24, 159, 68, 22, 19, 4, 8
2023/10/25, 156, 56, 16, 20, 4, 7
2023/10/26, 132, 23, 23, 12, 4, 4
2023/10/27, 60, 44, 25, 19, 4, 6
2023/10/28, 90, 58, 47, 21, 4, 8
2023/10/29, 126, 57, 43, 24, 4, 10
2023/10/30, 117, 53, 17, 29, 4, 9
2023/10/31, 104, 59, 39, 30, 4, 11
2023/11/1, 121, 68, 34, 33, 6, 11
2023/11/2, 141, 60, 16, 24, 4, 7
2023/11/3, 138, 38, 16, 14, 3, 4
2023/11/4, 80, 43, 36, 18, 3, 6
2023/11/5, 88, 54, 15, 27, 4, 8
2023/11/6, 106, 46, 20, 21, 4, 7
2023/11/7, 96, 50, 11, 22, 4, 7
2023/11/8, 94, 68, 39, 24, 6, 9
2023/11/9, 141, 47, 13, 15, 4, 7
2023/11/10, 105, 33, 17, 16, 5, 7
2023/11/11, 68, 31, 12, 12, 3, 6
2023/11/12, 69, 31, 20, 16, 10, 6
2023/11/13, 72, 38, 11, 19, 3, 6
2023/11/14, 85, 38, 11, 18, 3, 8
2023/11/15, 78, 57, 25, 26, 4, 9
2023/11/16, 92, 62, 35, 30, 4, 8
2023/11/17, 101, 66, 21, 34, 6, 9
2023/11/18, 118, 90, 30, 36, 6, 10
2023/11/19, 156, 80, 32, 35, 5, 12
2023/11/20, 156, 82, 21, 30, 5, 9
2023/11/21, 162, 78, 36, 25, 5, 8
2023/11/22, 158, 96, 25, 34, 5, 10
2023/11/23, 173, 97, 16, 31, 5, 12
2023/11/24, 177, 79, 17, 28, 4, 8
2023/11/25, 150, 63, 32, 22, 3, 6
2023/11/26, 131, 58, 29, 30, 4, 8
2023/11/27, 113, 70, 32, 28, 6, 9
2023/11/28, 145, 76, 10, 26, 6, 9
2023/11/29, 154, 54, 12, 16, 4, 6
2023/11/30, 122, 34, 11, 13, 3, 4
